pot,trt,geno,combo,rep,SM,H2_0821,T2_0821,H4_0904,T4_0904,rgr_0904,H6_0918,T6_0918,rgr_0918,H7_0926,T7_0926,rgr_0926,H8_1002,T8_1002,rgr_1002,H9_1009,T9_1009,rgr_1009,H10_1015,rgr_1015
38,10,1,1,1,1016.7,17,6,19.5,11,1.25,20.6,13,0.55,21,8,0.35,20.4,11,-0.7,19.3,11,-1.1,21,1.983333333
53,10,1,1,2,268.5,20.1,1,24.9,1,2.4,25.6,2,0.35,25.8,1,0.175,25.8,2,0,26.2,1,0.4,26,-0.233333333
58,10,1,1,3,959.9,19.1,6,19,5,-0.05,20.5,5,0.75,21,4,0.4375,21.2,5,0.233333333,21.5,4,0.3,21.4,-0.116666667
59,10,1,1,4,969,22.5,5,22.4,5,-0.05,22.6,5,0.1,22.5,5,-0.0875,22.8,5,0.35,23.1,5,0.3,23.5,0.466666667
63,10,1,1,5,871.8,23.4,4,23.6,6,0.1,24,7,0.2,24.4,5,0.35,24.5,7,0.116666667,24.7,5,0.2,24.9,0.233333333
100,10,1,1,6,1926.2,25.4,9,24.8,9,-0.3,24.8,9,0,24.8,8,0,23.1,8,-1.983333333,23.3,9,0.2,23.4,0.116666667
101,10,1,1,7,446.7,15.2,4,15.5,5,0.15,17.2,5,0.85,16.8,4,-0.35,16.8,4,0,17.4,3,0.6,17.1,-0.35
105,10,1,1,8,685,20.4,4,21.5,4,0.55,22.1,4,0.3,22.5,3,0.35,22.3,3,-0.233333333,22.6,2,0.3,22.7,0.116666667
108,10,1,1,9,535.3,16.6,4,16.1,4,-0.25,16.9,4,0.4,16.8,4,-0.0875,16.7,4,-0.116666667,16,4,-0.7,16,0
115,10,1,1,10,569.6,21.9,2,20.2,2,-0.85,20.6,2,0.2,21.1,2,0.4375,20.4,2,-0.816666667,21.4,3,1,21.2,-0.233333333
121,10,1,1,11,1100.6,19.4,7,19.1,7,-0.15,19,6,-0.05,19.3,4,0.2625,19.2,5,-0.116666667,19.3,5,0.1,19.3,0
128,10,1,1,12,951,20.1,4,20.7,4,0.3,22.1,6,0.7,21.7,3,-0.35,21.5,4,-0.233333333,21.8,4,0.3,21.7,-0.116666667
137,10,1,1,13,1434,22.2,4,22.1,4,-0.05,22.4,5,0.15,22.2,4,-0.175,22.8,5,0.7,22.5,6,-0.3,19.5,-3.5
141,10,1,1,14,388.5,16.4,2,19.8,2,1.7,20.9,4,0.55,20.6,2,-0.2625,21,3,0.466666667,21,2,0,20.8,-0.233333333
150,10,1,1,15,1455.4,24.2,12,24,11,-0.1,24,12,0,23.7,9,-0.2625,24,7,0.35,24.4,9,0.4,24,-0.466666667
161,10,1,1,16,571.9,24.2,6,23,5,-0.6,23,4,0,23.2,3,0.175,23.6,3,0.466666667,20.8,4,-2.8,20.7,-0.116666667
162,10,1,1,17,642.4,16,3,15.6,3,-0.2,16.1,3,0.25,16.6,3,0.4375,16.5,3,-0.116666667,17,3,0.5,16.8,-0.233333333
259,10,1,1,18,2524.8,22,5,21.3,5,-0.35,20,6,-0.65,20.1,5,0.0875,20.6,9,0.583333333,19.5,11,-1.1,19.9,0.466666667
279,10,1,1,19,1185.4,15.9,5,15.8,5,-0.05,16,6,0.1,16.8,4,0.7,16.6,4,-0.233333333,16.8,5,0.2,16.7,-0.116666667
14,15,1,2,1,767.3,25.1,3,25,3,-0.05,25.5,5,0.25,23.8,5,-1.4875,23.6,6,-0.233333333,23.5,6,-0.1,22.3,-1.4
34,15,1,2,2,963.7,22.4,5,22.4,5,0,23.5,11,0.55,23.8,7,0.2625,23.7,6,-0.116666667,27.4,6,3.7,31.4,4.666666667
66,15,1,2,3,1273.4,27.2,5,27.7,5,0.25,27.6,5,-0.05,28,6,0.35,27.6,8,-0.466666667,28.4,5,0.8,25.4,-3.5
72,15,1,2,4,1927,29.8,4,29.7,5,-0.05,29.9,6,0.1,30.3,7,0.35,30.2,6,-0.116666667,25,7,-5.2,26.4,1.633333333
73,15,1,2,5,2088.2,28.8,7,27.9,6,-0.45,25.9,8,-1,26.7,9,0.7,26.8,10,0.116666667,27.1,7,0.3,26.6,-0.583333333
87,15,1,2,6,478.2,14.2,4,15.4,4,0.6,18,6,1.3,18,4,0,17.5,3,-0.583333333,20.7,3,3.2,24.3,4.2
95,15,1,2,7,725.1,19.2,5,19.4,6,0.1,19.5,6,0.05,19.6,6,0.0875,20,5,0.466666667,20,6,0,21.1,1.283333333
98,15,1,2,8,533.8,18.6,5,16.5,5,-1.05,18.6,6,1.05,18.8,5,0.175,18.5,5,-0.35,19.1,5,0.6,22.4,3.85
102,15,1,2,9,997.4,24.3,4,23.8,4,-0.25,20,2,-1.9,20.4,3,0.35,20.5,4,0.116666667,18.4,4,-2.1,18.3,-0.116666667
110,15,1,2,10,440.2,15.3,4,14,4,-0.65,15.5,5,0.75,15.3,4,-0.175,15.8,4,0.583333333,19.7,4,3.9,22.5,3.266666667
111,15,1,2,11,513.1,16,4,17,4,0.5,17.5,5,0.25,19.2,4,1.4875,19.5,3,0.35,19.6,3,0.1,21.1,1.75
116,15,1,2,12,801.8,16.6,6,16.1,6,-0.25,16.5,6,0.2,16.5,5,0,16.5,7,0,15.9,8,-0.6,20.2,5.016666667
117,15,1,2,13,375.8,17,4,16.9,4,-0.05,17.7,5,0.4,17.5,3,-0.175,17.5,3,0,21.5,4,4,22.9,1.633333333
124,15,1,2,14,1008.7,17.4,3,17.2,5,-0.1,14,6,-1.6,13.8,5,-0.175,14.9,7,1.283333333,16,7,1.1,19.1,3.616666667
143,15,1,2,15,441.1,14,3,17,3,1.5,17.6,4,0.3,17.4,3,-0.175,17.5,3,0.116666667,19.5,3,2,24.3,5.6
159,15,1,2,16,1822.3,24.2,5,23.8,5,-0.2,24.1,6,0.15,24.1,8,0,24.3,10,0.233333333,24.5,11,0.2,24.4,-0.116666667
266,15,1,2,17,2823.5,18.8,9,18.1,8,-0.35,20.6,10,1.25,20.5,8,-0.0875,20.5,9,0,21.9,9,1.4,25.3,3.966666667
284,15,1,2,18,1421,19.6,7,18.1,8,-0.75,19.8,5,0.85,20,6,0.175,19.6,6,-0.466666667,20,9,0.4,24,4.666666667
307,15,1,2,19,1513.3,27.5,6,27,6,-0.25,27.1,7,0.05,27.4,8,0.2625,27.2,7,-0.233333333,28.1,8,0.9,31.9,4.433333333
313,15,1,2,20,1429.4,24.2,6,24,6,-0.1,24.3,6,0.15,23,5,-1.1375,23.9,6,1.05,28.1,6,4.2,32.1,4.666666667
8,20,1,3,1,659.1,24.4,2,24.4,3,0,25.3,9,0.45,27,7,1.4875,27.5,7,0.583333333,29.4,9,1.9,31.2,2.1
18,20,1,3,2,462.2,16.3,4,14,4,-1.15,22,11,4,28,9,5.25,32.1,9,4.783333333,35.2,9,3.1,36.5,1.516666667
24,20,1,3,3,473,14.6,6,15.2,5,0.3,20.7,7,2.75,29.5,5,7.7,32.6,6,3.616666667,37,5,4.4,41.4,5.133333333
40,20,1,3,4,868.4,19,6,19,5,0,22.1,12,1.55,30.5,13,7.35,34.8,14,5.016666667,33,13,-1.8,39,7
45,20,1,3,5,2154.6,25.6,7,25.4,7,-0.1,25.8,13,0.2,25.9,12,0.0875,31.4,12,6.416666667,36.8,12,5.4,39,2.566666667
47,20,1,3,6,638.1,15.3,2,13.4,2,-0.95,17.6,3,2.1,19.3,2,1.4875,24.7,2,6.3,29.6,2,4.9,31.2,1.866666667
48,20,1,3,7,334.8,15.2,4,15.9,3,0.35,19,6,1.55,24.5,5,4.8125,27.7,6,3.733333333,28.7,6,1,34,6.183333333
