obs,pot,geno,trt,combo,rep,measure,SM,Bv,Br,DMCv,DMCr,B_A,SLA,LA,Rl,Rsa,Rd,Rv,Rt,Rsa_la,srl,ssa
4574,38,1,10,1,1,biomass,1016.70000,0.94150,1.60930,0.36526,0.18339,1.70929,203.37349,183.03614,6982.50581,695.55460,0.31710,5.51451,17678.87234,3.80009,4338.84659,432.20941
4589,53,1,10,1,2,biomass,268.50000,0.26410,0.56520,0.36757,0.20962,2.14010,175.30364,33.30769,2026.71505,197.51999,0.31020,1.53587,6215.15217,5.93016,3585.83696,349.46920
4636,100,1,10,1,3,biomass,1926.20000,0.93990,2.36790,0.52597,0.22587,2.51931,176.06581,153.17725,11313.72733,946.67060,0.26630,6.32758,41030.41754,6.18023,4777.95825,399.79332
4637,101,1,10,1,4,biomass,446.70000,0.21310,0.59660,0.49558,0.23113,2.79962,192.65861,34.67855,3005.42983,272.25563,0.28840,1.96179,7094.70270,7.85084,5037.59610,456.34535
4644,108,1,10,1,5,biomass,535.30000,0.25800,0.65820,0.41194,0.20267,2.55116,165.05263,36.31158,3712.31281,293.50417,0.25170,1.84330,11312.28645,8.08294,5640.09847,445.91944
4697,161,1,10,1,6,biomass,571.90000,0.31500,0.78720,0.39326,0.19463,2.49905,165.96000,48.12840,3283.53968,298.82092,0.28970,2.16174,6383.25389,6.20883,4171.16321,379.59974
4815,279,1,10,1,7,biomass,1185.40000,0.44200,0.78360,0.38388,0.25277,1.77285,163.28125,66.94531,2391.86109,241.04928,0.32080,1.93631,7934.32819,3.60069,3052.40058,307.61776
4550,14,1,15,2,1,biomass,767.30000,0.91790,1.15680,0.33767,0.16692,1.26027,207.64092,180.64760,16048.20730,1056.88264,0.20960,5.53682,43033.94872,5.85052,13872.93162,913.62607
4570,34,1,15,2,2,biomass,963.70000,1.56490,2.29540,0.29934,0.14421,1.46680,224.06360,331.61413,19889.93021,1478.78557,0.23670,8.73713,74737.49337,4.45936,8665.12600,644.23873
4623,87,1,15,2,3,biomass,478.20000,0.62030,1.08930,0.33519,0.16882,1.75609,233.73134,130.88955,5659.79909,549.07185,0.30880,4.23278,19175.58343,4.19492,5195.81299,504.05935
4631,95,1,15,2,4,biomass,725.10000,0.65720,1.34210,0.33180,0.14657,2.04215,227.90323,141.30000,8889.65716,795.23055,0.28470,5.65879,23379.71706,5.62796,6623.69209,592.52705
4646,110,1,15,2,5,biomass,440.20000,0.68530,1.19790,0.32922,0.15787,1.74799,235.56291,150.76026,6802.60765,653.98568,0.30600,5.00698,19161.95922,4.33792,5678.77757,545.94347
4647,111,1,15,2,6,biomass,513.10000,0.59750,1.24600,0.30941,0.15104,2.08536,207.39130,111.99130,10037.00838,737.50518,0.23390,4.31650,42030.25000,6.58538,8055.38393,591.89821
4820,284,1,15,2,7,biomass,1421.00000,0.79150,1.37850,0.34455,0.15219,1.74163,250.96386,188.22289,5639.34341,662.08214,0.37370,6.18130,20247.26752,3.51754,4090.92739,480.29172
4588,52,1,20,3,1,biomass,1128.00000,2.35310,3.08700,0.29331,0.11838,1.31189,216.26208,488.75231,15154.81559,1666.37182,0.35000,14.55958,45752.10448,3.40944,4909.23732,539.80299
