"","measure","pot","trt","geno","combo","rep","tcid","parent","block","SM","Anet5_0907","gs5_0907","fo5_0907","fm5_0907","fv5_0907","E5_0907","WUEi5_0907","Anet6_0913","gs6_0913","fo6_0913","fm6_0913","fv6_0913","E6_0913","WUEi6_0913","Anet7_0920","gs7_0920","fo7_0920","fm7_0920","fv7_0920","E7_0920","WUEi7_0920","Anet8_0925","gs8_0925","fo8_0925","fm8_0925","fv8_0925","E8_0925","WUEi8_0925","Anet9_1004","gs9_1004","fo9_1004","fm9_1004","fv9_1004","E9_1004","WUEi9_1004","Anet10_1011","gs10_1011","fo10_1011","fm10_1011","fv10_1011","E10_1011","WUEi10_1011","uAnet","ugs","ufv","uWUEi","max_Anet","max_gs","max_fv","max_WUEi"
"1","physiology",1,30,1,5,6,167.5,167,"L",700.8,15.2,0.102,42.9,175.2,0.755,3.38,149.0196078,29.2,0.16,57.9,246.8,0.765,5.62,182.5,21.7,0.104977623762376,65.1,272.4,0.761,1.15,72.57525084,18.4,0.191,63.9,242.2,0.736,8.62,96.33507853,14.7,0.0921,64.3,259.5,0.752,1.93,159.6091205,28.5,0.2,56.6,233.3,0.758,4.92,142.5,21.2833333333333,0.141679603960396,0.7545,133.756509611667,29.2,0.2,0.765,182.5
"2","physiology",2,30,3,15,3,183.2,183,"H",864.6,28.3,0.134,30.2,126.2,0.761,4.22,211.1940299,22.8,0.145,36.8,131.6,0.763584158415842,5.31,157.2413793,16.7,0.104977623762376,74.7,269.6,0.723,2.63,156.037499988351,14.5,0.0829,75.3,251.8,0.701,4.27,174.9095296,7.35,0.048,71.4,290.1,0.754,1.28,153.125,27.4,0.169,83.3,367.9,0.774,4.36,162.1301775,19.5083333333333,0.113979603960396,0.746097359735974,169.106269381392,28.3,0.169,0.774,211.1940299
"3","physiology",4,30,2,10,1,226.1,226,"C",1367.1,25,0.115,44.4,173,0.743,3.82,217.3913043,23.6,0.119,38.8,164,0.763,4.41,198.3193277,13.4,0.104977623762376,73.8,285.4,0.741,7,156.037499988351,19.4,0.115,81.5,314.1,0.74,5.94,168.6956522,10.9,0.0801,71.2,281.3,0.747,2.09,136.0799001,23.4,0.123,81.7,345.2,0.763,3.25,190.2439024,19.2833333333333,0.109512937293729,0.7495,177.794597781392,25,0.123,0.763,217.3913043
"4","physiology",8,20,1,3,1,166.1,166,"L",659.1,15.3,0.0987,42.0079207920792,171.542,0.758,3.27,155.0151976,9.27,0.0868,46.9979591836735,203.307843137255,0.771,3.13,106.797235,17.6,0.104977623762376,49.1,204.6,0.76,7.04,156.037499988351,19.6,0.157,72.2,287.7,0.749,7.8,124.8407643,22.6,0.133,79.4,336.2,0.764,3.34,169.924812,16.1,0.0848,68.9,295.2,0.767,2.22,189.8584906,16.745,0.110879603960396,0.7615,150.412333248058,22.6,0.157,0.771,189.8584906
"5","physiology",12,10,2,6,4,247.4,247,"L",1777.1,20.2,0.107,38.2,146.3,0.739,3.81,188.7850467,8.24,0.0387,39.1,141.7,0.763584158415842,1.49,212.9198966,12.2,0.115,64.1,228.2,0.719,2.72,106.0869565,5.39,0.0432,59.3,180.4,NA,2.52,124.7685185,13.8,0.0847,55,217.1,0.747,2.21,162.9279811,8.35,0.0381,47,187.7,0.749,0.981,219.160105,11.3633333333333,0.0711166666666667,0.743516831683168,169.108084066667,20.2,0.115,0.763584158415842,219.160105
"6","physiology",15,30,1,5,7,259.6,259,"D",251.1,13.8,0.0968,36.3,147.6,0.754,3.3,142.5619835,12.1,0.082,49.4,193.5,0.745,3.18,147.5609756,11.8,0.17,59.3,237.4,0.75,4.24,156.037499988351,12.6,0.112,55.3,193.4,0.714,6,112.5,8.24,0.105,61.4,233.6,0.737,2.75,78.47619048,20.9,0.119,63.9,269.6,0.763,2.74,175.6302521,13.24,0.114133333333333,0.743833333333333,135.461150278058,20.9,0.17,0.763,175.6302521
"7","physiology",22,30,1,5,4,259.4,259,"D",947.5,13.3,0.0735,41.7,163.8,0.746,2.51,180.952381,22.1,0.163,49.8,197.4,0.748,5.8,135.5828221,17.3,0.183,53,194.8,0.728,4.72,94.53551913,6.27,0.0603,54,191.8,0.718,3.56,103.9800995,5.05,0.0833019801980198,74.2,300.2,0.753,4.08,180.381232798265,19.5,0.182,59.9,242.7,0.753,3.78,107.1428571,13.92,0.124183663366337,0.741,133.762485271378,22.1,0.183,0.753,180.952381
"8","physiology",25,25,1,4,1,252.1,252,"D",1873.4,11.2,0.0534,51,198.5,0.743,1.92,209.7378277,10.7,0.0662,46.9979591836735,313.4,0.765,2.55,161.6314199,23,0.119,63.3565656565657,253.828571428571,0.773,3.14,193.2773109,15.4199029126214,0.101682403846154,94.3,400.1,0.764,4.54169230769231,141.5929204,9.52,0.146,85.1,335.8,0.746,3.9,180.381232798265,18.8,0.158,84.7,367.1,0.769,3.31,118.9873418,14.7733171521036,0.107380400641026,0.76,167.601342249711,23,0.158,0.773,209.7378277
"9","physiology",28,15,3,12,7,183.4,183,"H",1138.5,16.3,0.0972,51.1,225.5,0.774,3.53,167.6954733,7.31,0.0333,44.5,180.6,0.754,1.36,219.5195195,22.8,0.159,69.8,310.9,0.775,4.21,143.3962264,16.2,0.0963,76.6,298,0.743,5.54,168.2242991,16.4,0.0838,94.9,379.9,0.75,2.41,195.7040573,17.4,0.0748,84,358.5,0.766,1.7,232.6203209,16.0683333333333,0.0907333333333333,0.760333333333333,187.85998275,22.8,0.159,0.775,232.6203209
"10","physiology",36,30,1,5,1,157.1,157,"E",1623.7,11.1,0.0689,39.3,151.8,0.741,2.46,161.1030479,19.9,0.126,38.3,138.3,0.763584158415842,4.71,157.9365079,16.4,0.132,42.4,179.6,0.764,3.56,124.2424242,16.5,0.136,48.5,198.7,0.756,7.43,121.3235294,12,0.103,63,245.6,0.744,2.98,116.5048544,19.4,0.13,70.7,287.3,0.754,2.75,149.2307692,15.8833333333333,0.115983333333333,0.75376402640264,138.390188833333,19.9,0.136,0.764,161.1030479
"11","physiology",37,30,3,15,6,183.5,183,"H",1125.8,21.5,0.124,32.9,134.8,0.756,4.36,173.3870968,14,0.0814,54.5,231.5,0.765,3.21,171.990172,10.6,0.076,70.1,236.2,0.755176470588235,2.09,139.4736842,10,0.0635,64.9,192.9,NA,3.92,157.480315,12.4,0.0612,70.7,283.5,0.751,1.9,202.6143791,23.2,0.106,76.3,342.8,0.777,2.29,218.8679245,15.2833333333333,0.08535,0.760835294117647,177.302261933333,23.2,0.124,0.777,218.8679245
"12","physiology",39,30,2,10,5,200.5,200,"D",2714.3,21.5,0.118,54.1,224.7,0.759,4.2,182.2033898,8.36,0.0544,53.5,228.4,0.766,2.14,153.6764706,15.2,0.0871,69.8,266.5,0.738,2.39,174.5120551,17.8,0.0847,70.3,259.8,0.729,4.93,210.1534829,7.01,0.0472,72.1,274,0.737,1.48,148.5169492,22.6,0.13,87.7,375,0.766,2.88,173.8461538,15.4116666666667,0.0869,0.749166666666667,173.818083566667,22.6,0.13,0.766,210.1534829
