measure,pot,trt,geno,combo,rep,tcid,parent,block,SM,Bv,Bf,did_flwr,Br,Brh,did_rh,B_above,B_below,B_total,B_A,H10_1015,H11_1023,rgr11_1023,H12_1104,rgr12_1104,H13_1111,rgr13_1111,H14_1117,rgr14_1117,H15_1124,rgr15_1124
physiology,128,10,1,1,1,305.1,305,R,951.00000,2.43000,0.00000,0.00000,2.96000,0.00000,0.00000,2.43000,2.96000,5.39000,1.21811,21.70000,35.20000,11.81250,53.60000,10.73333,53.00000,-0.60000,56.10000,3.61667,59.70000,3.60000
physiology,137,10,1,1,2,257.1,257,F,1434.00000,2.52000,0.00000,0.00000,2.30000,0.00000,0.00000,2.52000,2.30000,4.82000,0.91270,19.50000,44.70000,22.05000,57.90000,7.70000,57.90000,0.00000,59.10000,1.40000,66.50000,7.40000
physiology,105,10,1,1,3,172.4,172,Q,685.00000,2.31000,0.00000,0.00000,2.51000,0.00000,0.00000,2.31000,2.51000,4.82000,1.08658,22.70000,47.50000,21.70000,61.00000,7.87500,59.50000,-1.50000,63.30000,4.43333,73.00000,9.70000
physiology,259,10,1,1,4,173.4,173,J,2524.80000,8.92000,0.00000,0.00000,8.72000,4.40000,1.00000,8.92000,13.12000,22.04000,1.47085,19.90000,38.70000,16.45000,54.90000,9.45000,58.60000,3.70000,62.10000,4.08333,70.50000,8.40000
physiology,63,10,1,1,5,162.5,162,E,871.80000,2.09000,0.00000,0.00000,1.79000,0.60000,1.00000,2.09000,2.39000,4.48000,1.14354,24.90000,32.00000,6.21250,33.20000,0.70000,45.00000,11.80000,58.80000,16.10000,70.50000,11.70000
physiology,115,10,1,1,6,255.6,255,R,569.60000,2.65000,0.00000,0.00000,3.24000,12.20000,1.00000,2.65000,15.44000,18.09000,5.82642,21.20000,36.30000,13.21250,53.80000,10.20833,54.80000,1.00000,61.30000,7.58333,68.10000,6.80000
physiology,141,10,1,1,7,251.6,251,R,388.50000,1.90000,0.00000,0.00000,1.91000,0.00000,0.00000,1.90000,1.91000,3.81000,1.00526,20.80000,34.50000,11.98750,39.90000,3.15000,40.10000,0.20000,41.10000,1.16667,44.70000,3.60000
physiology,73,15,1,2,1,172.1,172,Q,2088.20000,8.77000,0.00000,0.00000,7.60000,0.00000,0.00000,8.77000,7.60000,16.37000,0.86659,26.60000,45.10000,16.18750,47.70000,1.51667,49.20000,1.50000,52.70000,4.08333,60.70000,8.00000
physiology,266,15,1,2,2,173.1,173,J,2823.50000,9.37000,0.00000,0.00000,15.27000,9.80000,1.00000,9.37000,25.07000,34.44000,2.67556,25.30000,40.60000,13.38750,49.90000,5.42500,57.10000,7.20000,67.00000,11.55000,77.30000,10.30000
physiology,98,15,1,2,3,253.2,253,Q,533.80000,5.02000,0.00000,0.00000,5.16000,0.00000,0.00000,5.02000,5.16000,10.18000,1.02789,22.40000,35.80000,11.72500,44.70000,5.19167,44.70000,0.00000,48.00000,3.85000,49.10000,1.10000
physiology,124,15,1,2,4,257.2,257,F,1008.70000,4.44000,0.00000,0.00000,3.81000,0.00000,0.00000,4.44000,3.81000,8.25000,0.85811,19.10000,40.70000,18.90000,52.30000,6.76667,57.40000,5.10000,65.30000,9.21667,74.70000,9.40000
physiology,307,15,1,2,5,306.4,306,P,1513.30000,6.03000,0.00000,0.00000,6.50000,4.40000,1.00000,6.03000,10.90000,16.93000,1.80763,31.90000,48.50000,14.52500,56.40000,4.60833,56.20000,-0.20000,49.20000,-8.16667,69.00000,19.80000
physiology,102,15,1,2,6,251.5,251,Q,997.40000,5.00000,0.00000,0.00000,4.69000,4.10000,1.00000,5.00000,8.79000,13.79000,1.75800,18.30000,40.50000,19.42500,45.90000,3.15000,45.90000,0.00000,46.00000,0.11667,45.80000,-0.20000
physiology,159,15,1,2,7,159.7,159,K,1822.30000,8.59000,0.00000,0.00000,8.12000,4.10000,1.00000,8.59000,12.22000,20.81000,1.42258,24.40000,37.40000,11.37500,47.60000,5.95000,53.50000,5.90000,60.10000,7.70000,62.40000,2.30000
physiology,8,20,1,3,1,166.1,166,L,659.10000,11.34000,1.30000,1.00000,9.33000,2.70000,1.00000,12.64000,12.03000,24.67000,0.95174,31.20000,53.50000,19.51250,64.10000,6.18333,65.00000,0.90000,65.20000,0.23333,70.60000,5.40000
physiology,83,20,1,3,2,253.1,253,Q,1119.70000,5.95000,3.31000,1.00000,10.71000,0.00000,0.00000,9.26000,10.71000,19.97000,1.15659,36.20000,61.00000,21.70000,72.00000,6.41667,83.50000,11.50000,94.40000,12.71667,125.40000,31.00000
physiology,217,20,1,3,3,165.1,165,K,735.40000,5.01000,3.50000,1.00000,7.96000,0.00000,0.00000,8.51000,7.96000,16.47000,0.93537,31.20000,51.50000,17.76250,59.60000,4.72500,64.10000,4.50000,64.90000,0.93333,73.30000,8.40000
physiology,315,20,1,3,4,170.1,170,P,972.00000,1.94000,3.56000,1.00000,4.81000,3.50000,1.00000,5.50000,8.31000,13.81000,1.51091,36.40000,24.80000,-10.15000,24.60000,-0.11667,24.90000,0.30000,35.60000,12.48333,45.00000,9.40000
physiology,288,20,1,3,5,304.2,304,N,563.40000,2.13000,5.97000,1.00000,7.03000,2.80000,1.00000,8.10000,9.83000,17.93000,1.21358,40.80000,38.00000,-2.45000,56.20000,10.61667,63.20000,7.00000,69.50000,7.35000,81.00000,11.50000
physiology,74,20,1,3,6,172.6,172,Q,585.40000,5.17000,3.45000,1.00000,11.60000,1.00000,1.00000,8.62000,12.60000,21.22000,1.46172,36.00000,27.00000,-7.87500,39.90000,7.52500,47.60000,7.70000,52.30000,5.48333,63.80000,11.50000
physiology,47,20,1,3,7,157.7,157,E,638.10000,1.92000,1.38000,1.00000,3.33000,0.00000,0.00000,3.30000,3.33000,6.63000,1.00909,31.20000,38.20000,6.12500,46.30000,4.72500,52.40000,6.10000,57.00000,5.36667,66.40000,9.40000
physiology,25,25,1,4,1,252.1,252,D,1873.40000,8.05000,5.28000,1.00000,13.65000,11.50000,1.00000,13.33000,25.15000,38.48000,1.88672,43.50000,41.40000,-1.83750,45.10000,2.15833,45.20000,0.10000,45.30000,0.11667,51.40000,6.10000
physiology,184,25,1,4,2,256.1,256,K,531.60000,6.17000,0.00000,0.00000,6.28000,3.30000,1.00000,6.17000,9.58000,15.75000,1.55267,38.00000,37.70000,-0.26250,40.20000,1.45833,49.20000,9.00000,55.30000,7.11667,68.90000,13.60000
physiology,174,25,1,4,3,167.2,167,K,564.70000,9.60000,0.00000,0.00000,13.05000,4.00000,1.00000,9.60000,17.05000,26.65000,1.77604,32.60000,39.20000,5.77500,48.20000,5.25000,54.70000,6.50000,54.30000,-0.46667,64.50000,10.20000
physiology,134,25,1,4,4,255.3,255,R,1037.80000,8.06000,1.12000,1.00000,9.10000,0.00000,0.00000,9.18000,9.10000,18.28000,0.99129,37.80000,51.10000,11.63750,65.70000,8.51667,70.00000,4.30000,78.40000,9.80000,105.90000,27.50000
physiology,264,25,1,4,5,156.3,156,J,1918.10000,7.68000,3.18000,1.00000,11.79000,8.90000,1.00000,10.86000,20.69000,31.55000,1.90516,34.70000,42.60000,6.91250,57.10000,8.45833,59.20000,2.10000,64.50000,6.18333,78.10000,13.60000
