"","Initial","Est.","St.Err","lower","upper","pvalue","geno","measure","subset"
"1",17.5,14.6135639160621,13.8706130825001,-14.014,43.2411,0.7105,11,"urgr","Recovery"
"2",17.5,18.5223382346033,7.09239168091899,3.88436,33.1603,0.4547,2,"urgr","Recovery"
"3",17.5,21.2021045867138,2.98954735547621,15.032,27.3722,0.1551,5,"urgr","Recovery"
"4",17.5,12.5890077285814,8.78095093828808,-5.53398,30.712,0.8821,11,"uH","Recovery"
"5",17.5,24.0612779956581,1.52647372063182,20.9108,27.2118,0.5807,2,"uH","Recovery"
"6",17.5,16.1173698697373,9.98580662704616,-4.49232,36.7271,0.5783,5,"uH","Recovery"
"7",17.5,24.1280380787149,7.76681875152909,8.09811,40.158,0.935,11,"max_rgr","Recovery"
"8",17.5,10.8878334352027,18.4452960900215,-27.1814,48.9571,0.9656,2,"max_rgr","Recovery"
"9",17.5,19.8064516129032,3.69699773877605,12.1762,27.4367,0.1182,5,"max_rgr","Recovery"
"10",17.5,11.7304650812207,3.51072299165032,4.48469,18.9762,0.753,11,"max_H","Recovery"
"11",17.5,22.0116706740823,7.30957867060143,6.92544,37.0979,0.6851,2,"max_H","Recovery"
"12",17.5,19.8600267929505,5.39130272763062,8.73292,30.9871,0.2523,5,"max_H","Recovery"
"13",17.5,12.4640784728531,1.79642015515952,8.75645,16.1717,0.2934,11,"B_total","Recovery"
"14",15,18.8924466495458,2.24756307505737,14.243,23.5419,0.0015,2,"B_total","Recovery"
"15",17.5,21.0832786567156,4.46739196658056,11.863,30.3035,0.2412,5,"B_total","Recovery"
"16",17.5,11.525813644118,2.02449724514664,7.34746,15.7042,0.6576,11,"B_below","Recovery"
"17",15,18.2631425994378,2.21914397506025,13.6725,22.8538,0.004,2,"B_below","Recovery"
"18",17.5,23.0090670761758,2.91678027142319,16.9891,29.029,0.4128,5,"B_below","Recovery"
"19",17.5,15.1666518601057,1.95503247330079,11.1317,19.2016,0.0265,11,"B_above","Recovery"
"20",15,20.448165020511,2.34331799677453,15.6006,25.2957,9e-04,2,"B_above","Recovery"
"21",17.5,17.8405157742378,2.43321426932547,12.8186,22.8624,0.0321,5,"B_above","Recovery"
"22",17.5,20.8142617279767,4.1243683515336,12.302,29.3265,0.1713,11,"B_A","Recovery"
"23",15,17.7748333963145,3.51780790794556,10.4977,25.052,0.1232,2,"B_A","Recovery"
"24",17.5,23.6571742263162,4.41651531517036,14.5419,32.7724,0.941,5,"B_A","Recovery"
"25",17.5,15.9667297058617,1.17687448371158,13.5378,18.3957,0,11,"ssa","Cumulative"
"26",20,18.187397049396,1.59762121537941,14.8825,21.4923,0.0028,2,"ssa","Cumulative"
"27",15,16.2164463604085,1.19853382279256,13.7371,18.6958,1e-04,5,"ssa","Cumulative"
"28",17.5,16.6875428930205,1.2753781431971,14.0553,19.3198,1e-04,11,"srl","Cumulative"
"29",20,17.7255491061072,1.36712296687971,14.8974,20.5537,0.0014,2,"srl","Cumulative"
"30",15,16.9839182511227,1.13516327556384,14.6357,19.3322,1e-04,5,"srl","Cumulative"
"31",17.5,14.7101922065216,1.80860433017351,10.9774,18.443,0.0033,11,"SLA","Cumulative"
"32",17.5,15.6284975901859,1.4045347963807,12.7297,18.5273,2e-04,2,"SLA","Cumulative"
"33",17.5,15.7186916743732,1.11328870498324,13.421,18.0164,0,5,"SLA","Cumulative"
"34",17.5,17.9034909299674,1.80523332884509,14.1777,21.6293,6e-04,11,"Rv","Cumulative"
"35",20,17.9309952429817,2.50450190408391,12.75,23.112,0.0259,2,"Rv","Cumulative"
"36",15,16.386213924746,0.633766915548989,15.0752,17.6973,0,5,"Rv","Cumulative"
"37",17.5,16.8191019037498,1.29231866793824,14.1519,19.4863,7e-04,11,"Rt","Cumulative"
"38",20,16.0089052722846,1.54366050054543,12.8156,19.2022,0.0192,2,"Rt","Cumulative"
"39",15,16.1387840670375,0.738251263586007,14.6116,17.666,1e-04,5,"Rt","Cumulative"
"40",17.5,19.4280354667261,3.25919031940923,12.7014,26.1547,0.1766,11,"Rsa_la","Cumulative"
"41",20,18.5605320129836,2.41793723524758,13.5586,23.5624,0.0881,2,"Rsa_la","Cumulative"
"42",15,14.0718062414981,3.43580036696825,6.96431,21.1793,0.0743,5,"Rsa_la","Cumulative"
"43",17.5,17.5302962252218,1.39523557825093,14.6507,20.4099,2e-04,11,"Rsa","Cumulative"
"44",20,17.0394185806088,1.84437476605577,13.224,20.8548,0.0156,2,"Rsa","Cumulative"
"45",15,16.4191532866636,0.628738059032563,15.1185,17.7198,0,5,"Rsa","Cumulative"
"46",17.5,17.327409704692,1.23086591897596,14.787,19.8678,2e-04,11,"Rl","Cumulative"
"47",20,16.6361469688095,1.57651772032245,13.3749,19.8974,0.0092,2,"Rl","Cumulative"
"48",15,16.5600447712243,0.686934679463118,15.139,17.9811,0,5,"Rl","Cumulative"
"49",17.5,17.5774995913818,2.65925762555065,12.0891,23.0659,0.0388,11,"Rd","Cumulative"
"50",20,16.4277753940915,2.39184464931795,11.4799,21.3757,0.0242,2,"Rd","Cumulative"
"51",15,16.6285817572951,1.85022605625424,12.8011,20.4561,0.003,5,"Rd","Cumulative"
"52",17.5,17.0701933330517,1.50135382888791,13.9716,20.1688,9e-04,11,"LA","Cumulative"
"53",17.5,15.6512883965156,1.37666917116329,12.81,18.4926,0.0138,2,"LA","Cumulative"
"54",17.5,16.3600117672814,0.588844386125798,15.1447,17.5753,0,5,"LA","Cumulative"
"55",17.5,16.5076752828856,2.85171315959977,10.622,22.3933,0.0357,11,"DMCv","Cumulative"
"56",17.5,15.2237987674591,7.09051340074432,0.589698,29.8579,0.6615,2,"DMCv","Cumulative"
"57",17.5,16.2176286990897,3.52891861237485,8.9343,23.501,0.0485,5,"DMCv","Cumulative"
"58",17.5,13.9002907080905,4.1661501234154,5.30178,22.4988,0.2018,11,"DMCr","Cumulative"
"59",17.5,17.8363008677333,1.79622644490707,14.1291,21.5435,0.002,2,"DMCr","Cumulative"
"60",17.5,17.6692222082032,4.19697930427221,9.00708,26.3314,0.2074,5,"DMCr","Cumulative"
"61",17.5,18.586654915117,2.61008994469283,13.1997,23.9736,0.0025,11,"Bv","Cumulative"
"62",17.5,16.7769915782551,2.50920806619105,11.5982,21.9557,0.0734,2,"Bv","Cumulative"
"63",17.5,17.1695184080814,1.00608055022024,15.0931,19.246,0,5,"Bv","Cumulative"
