"","SM","Bv","Br","DMCv","DMCr","A_B","SLA","LA","Rl","Rsa","Rd","Rv","Rt","Rsa_la","srl","ssa"
"SM",1,0.175149534170173,0.232233448657284,0.0262855747975137,-0.147816524797911,0.0726120714748264,-0.0346665713789249,0.146900120661859,0.277403171577566,0.262825588642348,-0.217548622938635,0.203745726461394,0.212173632459761,0.0251071523439905,0.20667999849113,0.193911166517552
"Bv",0.175149534170173,1,0.918511878851944,-0.50484870207938,-0.50546891640009,0.689499587170783,0.497526858742853,0.974898402600427,0.637418639137134,0.808295369059881,0.230784648896462,0.902909012052327,0.666655119813128,-0.518364607665634,0.00268349971444151,0.14004708771072
"Br",0.232233448657284,0.918511878851944,1,-0.385395987067847,-0.362588981303683,0.393774667417936,0.373065468005333,0.872929759241237,0.67334314644884,0.842020699219868,0.176140738973406,0.924553453163443,0.688324317444397,-0.354688157498547,0.00149479526244525,0.110822902081569
"DMCv",0.0262855747975137,-0.50484870207938,-0.385395987067847,1,0.580631425501754,-0.569108349993887,-0.577745883241822,-0.514151108058459,-0.281039963384327,-0.387499968335616,-0.234580588421319,-0.462291656835778,-0.313239903402307,0.39351689919078,-0.0473619153312763,-0.201920467646536
"DMCr",-0.147816524797911,-0.50546891640009,-0.362588981303683,0.580631425501754,1,-0.652641620222048,-0.468304488650607,-0.485625698852435,-0.422660641859836,-0.483419628532296,-0.0418767074730207,-0.496186731144103,-0.406984072182308,0.248080342442466,-0.303594055014546,-0.457649957695344
"A_B",0.0726120714748264,0.689499587170783,0.393774667417936,-0.569108349993887,-0.652641620222048,1,0.559021610818767,0.696249729588478,0.282327037402391,0.38415231684867,0.223812334055221,0.462039761192811,0.319359432661765,-0.670302963735394,0.0232033173038773,0.157652784205967
"SLA",-0.0346665713789249,0.497526858742853,0.373065468005333,-0.577745883241822,-0.468304488650607,0.559021610818767,1,0.635992637105133,0.182686699154173,0.298386471363367,0.39866345759239,0.411903201120836,0.233334269354369,-0.621561158105124,-0.106643991162373,0.0310912063769875
"LA",0.146900120661859,0.974898402600427,0.872929759241237,-0.514151108058459,-0.485625698852435,0.696249729588478,0.635992637105133,1,0.578604255187631,0.752940710866644,0.287771445006973,0.863718232198562,0.614170832370375,-0.569600154092315,-0.0406964950491725,0.0990802805633327
"Rl",0.277403171577566,0.637418639137134,0.67334314644884,-0.281039963384327,-0.422660641859836,0.282327037402391,0.182686699154173,0.578604255187631,1,0.948101359604982,-0.431161677448289,0.752327274541115,0.963368889932492,0.120843322296068,0.694778225608354,0.725559639727727
"Rsa",0.262825588642348,0.808295369059881,0.842020699219868,-0.387499968335616,-0.483419628532296,0.38415231684867,0.298386471363367,0.752940710866644,0.948101359604982,1,-0.1711867892189,0.921082032447545,0.923111648125009,-0.0455921058188927,0.487556823655282,0.591507622498599
"Rd",-0.217548622938635,0.230784648896462,0.176140738973406,-0.234580588421319,-0.0418767074730207,0.223812334055221,0.39866345759239,0.287771445006973,-0.431161677448289,-0.1711867892189,1,0.192351119213785,-0.362903226300743,-0.526531280723505,-0.756572254617471,-0.569985353158023
"Rv",0.203745726461394,0.902909012052327,0.924553453163443,-0.462291656835778,-0.496186731144103,0.462039761192811,0.411903201120836,0.863718232198562,0.752327274541115,0.921082032447545,0.192351119213785,1,0.747072272593008,-0.237460326466875,0.177285033874799,0.35418185296485
"Rt",0.212173632459761,0.666655119813128,0.688324317444397,-0.313239903402307,-0.406984072182308,0.319359432661765,0.233334269354369,0.614170832370375,0.963368889932492,0.923111648125009,-0.362903226300743,0.747072272593008,1,0.0215794447986853,0.612667406451093,0.640107092799842
"Rsa_la",0.0251071523439905,-0.518364607665634,-0.354688157498547,0.39351689919078,0.248080342442466,-0.670302963735394,-0.621561158105124,-0.569600154092315,0.120843322296068,-0.0455921058188927,-0.526531280723505,-0.237460326466875,0.0215794447986853,1,0.563013336829483,0.480458091942673
"srl",0.20667999849113,0.00268349971444151,0.00149479526244525,-0.0473619153312763,-0.303594055014546,0.0232033173038773,-0.106643991162373,-0.0406964950491725,0.694778225608354,0.487556823655282,-0.756572254617471,0.177285033874799,0.612667406451093,0.563013336829483,1,0.951437755639212
"ssa",0.193911166517552,0.14004708771072,0.110822902081569,-0.201920467646536,-0.457649957695344,0.157652784205967,0.0310912063769875,0.0990802805633327,0.725559639727727,0.591507622498599,-0.569985353158023,0.35418185296485,0.640107092799842,0.480458091942673,0.951437755639212,1
