"","PC1","PC2","PC3"
"SM",0.100065945130078,0.104801525111326,-0.981453099963669
"Bv",0.347638870729657,-0.249970245195553,-0.000902265259080492
"Br",0.26930080041604,-0.134922124936277,-0.0437235144471841
"DMCv",-0.0789387602358686,0.0796450027782287,-0.0641373395195801
"DMCr",-0.0995452533608818,0.0212607822328099,0.00207052542747627
"A_B",0.0970042687333896,-0.138865207428733,0.00240332279328455
"SLA",0.0455156479980936,-0.0855561644707159,0.0267890462841803
"LA",0.387546794892852,-0.336447665372365,0.0132019759445936
"Rl",0.382717822689491,0.297073949435432,0.0453095625208566
"Rsa",0.36223477191509,0.110473366121485,0.0311663300584429
"Rd",-0.00957408918881776,-0.1732189237802,0.0276804299186264
"Rv",0.341019126508491,-0.0825227103180169,0.0230463678279652
"Rt",0.440063299382232,0.270327128666712,0.13498198873073
"Rsa_la",-0.0912658662888789,0.554159422165914,0.0615586313309801
"srl",0.114642300195387,0.427856442135086,0.0409347828789162
"ssa",0.0979581682324126,0.247445163629029,0.0425998775715784
