"","PC1","PC2","PC3"
"uAnet",-0.400161014027699,0.29895395226133,0.528500875383869
"ugs",-0.471927353225498,-0.0389715820450919,-0.0771860467799267
"ufv",-0.0064508317006932,0.00668320613207001,0.0133093077511582
"uE",-0.439713619202503,0.00709486225449188,-0.0260662087799674
"uWUEi",0.0341697703477001,0.436231615412871,0.131221445951785
"max_Anet",-0.323665028328726,-0.00788323611023569,0.493609991224985
"max_gs",-0.382938342837596,-0.22764977061612,-0.300654314660447
"max_fv",-0.00159495761257731,0.00822932540856954,0.0120258700810338
"max_E",-0.409074157284803,0.123032054617285,-0.539019407131664
"max_WUEi",0.06207614482386,0.807232032247682,-0.268184829797413
