,PC1,PC2,PC3
Bv,0.255060305,-0.099203681,0.152326864
Bf,-0.456594078,0.835787117,0.191854402
Br,0.179681476,0.14636587,0.154261811
Brh,0.69426199,0.350286201,-0.017984689
B_above,0.090192975,0.11740348,0.161484117
B_below,0.328658429,0.205403141,0.104394476
B_total,0.234150084,0.17052722,0.127020175
A_B,-0.19517476,-0.049965232,0.036980992
uH,0.003492604,-0.047085614,0.266097576
urgr,-0.016965995,-0.206763621,0.681583917
max_H,-0.0077611,-0.045720953,0.321193789
max_rgr,-0.05244123,-0.113518254,0.472081781
