,measure,descr,param,mean,sd,25%,75%,2.50%,97.50%,Rhat,geno,trt,Pr
b[1],Bv,(Intercept),beta,-0.495803136,0.172786367,-0.602663402,-0.374799093,-0.873266283,-0.193882394,1.000921211,none,none,1
b[2],Bv,(trt)15,beta,0.389667511,0.228640252,0.242134861,0.53593151,-0.056511565,0.83366239,1.000160934,none,none,0.94
b[3],Bv,(trt)20,beta,1.056402895,0.195824702,0.924498087,1.183253247,0.690086121,1.462257401,1.000940272,none,none,1
b[4],Bv,(trt)25,beta,1.221373418,0.189578619,1.090607113,1.34269795,0.879213063,1.620851453,1.0007396,none,none,1
b[5],Bv,(trt)30,beta,0.73744749,0.212657216,0.599976067,0.873158026,0.323187806,1.170376539,1.000903799,none,none,1
b[6],Bv,(geno)2,beta,0.111821114,0.237944174,-0.043448907,0.270319702,-0.366331151,0.577113048,1.001055455,none,none,0.61
b[7],Bv,(geno)5,beta,0.344168821,0.22278143,0.197572267,0.487609136,-0.092241104,0.792753603,1.000592968,none,none,0.9
b[8],Bv,(trt)15:(geno)2,beta,-0.0822492,0.322811734,-0.300497744,0.132027793,-0.712487802,0.561098663,1.000476484,none,none,0.56
b[9],Bv,(trt)20:(geno)2,beta,-0.301999774,0.277680705,-0.488228812,-0.121192342,-0.842930372,0.254182768,1.000993236,none,none,0.77
b[10],Bv,(trt)25:(geno)2,beta,-0.067931308,0.261854681,-0.243606013,0.106252287,-0.57306929,0.454920716,1.001079344,none,none,0.56
b[11],Bv,(trt)30:(geno)2,beta,-0.056394775,0.296114131,-0.250058365,0.136609405,-0.637049128,0.534986292,1.001363514,none,none,0.54
b[12],Bv,(trt)15:(geno)5,beta,0.128965521,0.295136246,-0.068942283,0.325529781,-0.445505426,0.714652763,1.000254422,none,none,0.62
b[13],Bv,(trt)20:(geno)5,beta,-0.045974561,0.251805081,-0.211190535,0.119454402,-0.541535543,0.451104336,1.000562819,none,none,0.55
b[14],Bv,(trt)25:(geno)5,beta,-0.298379191,0.249841834,-0.461473458,-0.130633917,-0.797574591,0.191094628,1.000420925,none,none,0.81
b[15],Bv,(trt)30:(geno)5,beta,-0.055171367,0.273754705,-0.236550227,0.126915853,-0.594480072,0.486358589,1.00065035,none,none,0.55
G_E[1],Bv,no_descr,G11[R]-G2[R],0.302453574,0.227321694,0.151155924,0.454424878,-0.150448562,0.740303642,0.999876457,none,none,0.83
G_E[2],Bv,no_descr,G11[R]-G5,-0.606811353,0.236491835,-0.766156493,-0.450011366,-1.071541806,-0.140847613,0.999902312,none,none,1
G_E[3],Bv,no_descr,G2[R]-G5,-0.909264927,0.23267603,-1.064107922,-0.754562394,-1.360430821,-0.444304298,0.999920472,none,none,1
T_E[1],Bv,no_descr,trt_effect,0.851222828,0.179064707,0.726396396,0.963122384,0.532125122,1.234964877,1.000854738,none,none,1
I_E[1],Bv,no_descr,int_effect,-0.097391832,0.209823885,-0.232356824,0.044130282,-0.531854556,0.301969184,1.00125029,none,none,0.64
Y[1],Bv,no_descr,posterior value,0.618012169,0.103651723,0.547351875,0.687427374,0.41758537,0.823754778,1.0009746,G11,10,1
Y[2],Bv,no_descr,posterior value,0.910681682,0.141039387,0.816622392,1.007355014,0.627654673,1.180714976,1.000016967,G11,15,1
Y[3],Bv,no_descr,posterior value,1.759807259,0.166965786,1.650970966,1.871684172,1.421325523,2.077923029,0.999895882,G11,20,1
Y[4],Bv,no_descr,posterior value,2.072533956,0.164511233,1.966044251,2.184494764,1.743797614,2.385533195,0.999853169,G11,25,1
Y[5],Bv,no_descr,posterior value,1.283863815,0.161024923,1.178566615,1.394535098,0.96174877,1.585966423,1.000125668,G11,Sat'd,1
Y[6],Bv,no_descr,posterior value,0.691651871,0.118445684,0.611599889,0.770575683,0.462852431,0.92498046,1.000097325,G2,10,1
Y[7],Bv,no_descr,posterior value,0.93797426,0.144941295,0.841336771,1.037790079,0.648932184,1.214646827,0.999953908,G2,15,1
Y[8],Bv,no_descr,posterior value,1.457353685,0.160047532,1.35354437,1.565890754,1.135235601,1.760472117,0.999884883,G2,20,1
Y[9],Bv,no_descr,posterior value,2.165033523,0.165767629,2.058032095,2.276123963,1.829437517,2.481904632,1.000079156,G2,25,1
Y[10],Bv,no_descr,posterior value,1.355959725,0.162453099,1.250957499,1.467480993,1.023346099,1.661311561,1.000044573,G2,Sat'd,1
Y[11],Bv,no_descr,posterior value,0.869638091,0.131786811,0.781704066,0.958888575,0.609048737,1.124399408,0.999956947,G5,10,1
Y[12],Bv,no_descr,posterior value,1.453591225,0.169197645,1.345678122,1.568778593,1.106709128,1.77229458,0.999998286,G5,15,1
Y[13],Bv,no_descr,posterior value,2.366618612,0.17154806,2.254565125,2.48148209,2.020926784,2.692831808,0.999853145,G5,20,1
Y[14],Bv,no_descr,posterior value,2.169749025,0.173493939,2.058313346,2.28731298,1.818242507,2.502649743,0.999934266,G5,25,1
Y[15],Bv,no_descr,posterior value,1.707903599,0.16237136,1.600154143,1.816854297,1.382989678,2.017602271,0.999884392,G5,Sat'd,1
b[1],Br,(Intercept),beta,0.067762388,0.1596989,-0.031745576,0.179291815,-0.279912561,0.344303009,1.000230675,none,none,0.55
b[2],Br,(trt)15,beta,0.318061437,0.208299371,0.182574122,0.454366733,-0.096103382,0.733555484,1.000372777,none,none,0.88
b[3],Br,(trt)20,beta,0.810041955,0.182970849,0.687465609,0.926164263,0.472698584,1.191713578,1.000026034,none,none,1
b[4],Br,(trt)25,beta,0.771226734,0.183559973,0.646589958,0.889761286,0.434519536,1.151572633,1.000086262,none,none,1
b[5],Br,(trt)30,beta,0.405593096,0.204334356,0.271773098,0.53712508,0.004149138,0.820989097,1.000323561,none,none,1
b[6],Br,(geno)2,beta,0.155191406,0.215977659,0.016256702,0.295873673,-0.279128465,0.584902992,1.000408924,none,none,0.68
b[7],Br,(geno)5,beta,0.159232313,0.214931689,0.017760251,0.30139773,-0.257590559,0.587796314,1.000272177,none,none,0.7
b[8],Br,(trt)15:(geno)2,beta,-0.080495558,0.287921348,-0.271058029,0.109215909,-0.646473565,0.48885956,1.000557545,none,none,0.57
b[9],Br,(trt)20:(geno)2,beta,-0.375119646,0.25915003,-0.545722323,-0.204300519,-0.882724615,0.146606932,1.000151411,none,none,0.86
b[10],Br,(trt)25:(geno)2,beta,-0.041952313,0.250013237,-0.205706067,0.125465843,-0.536147462,0.449085887,1.000193527,none,none,0.54
b[11],Br,(trt)30:(geno)2,beta,-0.10956784,0.291937646,-0.303021201,0.082662599,-0.682893501,0.469140083,1.000279506,none,none,0.59
b[12],Br,(trt)15:(geno)5,beta,0.148637395,0.277376255,-0.038540246,0.333029873,-0.393508673,0.709146052,1.000239998,none,none,0.64
b[13],Br,(trt)20:(geno)5,beta,0.082129224,0.245210377,-0.082865795,0.24762422,-0.396471194,0.560384955,1.000066947,none,none,0.59
b[14],Br,(trt)25:(geno)5,beta,-0.041162383,0.249951722,-0.20535088,0.12256005,-0.533355435,0.456219072,1.000229377,none,none,0.54
b[15],Br,(trt)30:(geno)5,beta,-0.018259348,0.27492239,-0.200122552,0.161442262,-0.556434576,0.531937573,1.000209989,none,none,0.51
G_E[1],Br,no_descr,G11[R]-G2[R],0.473702767,0.308308403,0.270448316,0.676763843,-0.155329256,1.073643431,0.999935088,none,none,0.87
G_E[2],Br,no_descr,G11[R]-G5,-0.654361477,0.318089115,-0.867505508,-0.440110153,-1.282258417,-0.023723453,0.999919366,none,none,1
G_E[3],Br,no_descr,G2[R]-G5,-1.128064244,0.310349971,-1.337311568,-0.918452991,-1.736095302,-0.514269291,1.000068084,none,none,1
T_E[1],Br,no_descr,trt_effect,0.576230805,0.166240274,0.459616158,0.682045349,0.282586788,0.932456604,1.000321243,none,none,1
I_E[1],Br,no_descr,int_effect,-0.054473809,0.19639781,-0.185059445,0.078860026,-0.454145561,0.317695926,1.000489263,none,none,0.59
Y[1],Br,no_descr,posterior value,1.083515188,0.168020906,0.968753025,1.196369812,0.75584983,1.411006118,1.000220108,G11,10,1
Y[2],Br,no_descr,posterior value,1.484991679,0.20123184,1.354023303,1.620344984,1.075847474,1.874205294,0.999943138,G11,15,1
Y[3],Br,no_descr,posterior value,2.416377394,0.225425637,2.269079334,2.56769555,1.956376663,2.844138275,0.999894298,G11,20,1
Y[4],Br,no_descr,posterior value,2.324313708,0.216139436,2.182084512,2.470787337,1.890820835,2.739994493,1.000027019,G11,25,1
